unit_id,requirement_id,module_id,level,level_label,title,requirement_text,sentence_text,coder,kategorie,notes
SYS.1.1.A1.S07,SYS.1.1.A1,SYS.1.1,B,Basis,Zugriffsschutz und Nutzung,"Physische Server MÜSSEN an Orten betrieben werden, zu denen nur berechtigte Personen Zutritt haben. Physische Server MÜSSEN daher in Rechenzentren, Serverräumen oder abschließbaren Serverschränken aufgestellt beziehungsweise eingebaut werden (siehe hierzu die entsprechenden Bausteine der Schicht INF Infrastruktur). Bei virtualisierten Servern MUSS der Zugriff auf die Ressourcen der Instanz und deren Konfiguration ebenfalls auf die berechtigten Personen begrenzt werden. Server DÜRFEN NICHT als Arbeitsplatzrechner genutzt werden. Server DÜRFEN NICHT zur Erledigung von Aufgaben und Tätigkeiten verwendet werden, die grundsätzlich auf einem Client- System aus- und durchgeführt werden können. Insbesondere DÜRFEN vorhandene Anwendungen, wie Webbrowser, auf dem Server NICHT für das Abrufen von Informationen aus dem Internet oder das Herunterladen von Software, Treibern und Updates verwendet werden. Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden.",Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden.,zweitkodierer,C — Organisatorischer Akt / evidenzfrei,"Nur teilweise technisch nachprüfbar bzw. regulierbar, ob System als Client genutzt wird. Daher konservativ C"
SYS.1.1.A12.S02,SYS.1.1.A12,SYS.1.1,S,Standard,Planung des Server-Einsatzes,"Jedes Server-System SOLLTE geeignet geplant werden. Dabei SOLLTEN mindestens folgende Punkte berücksichtigt werden: • Auswahl der Plattform (Hardware oder virtualisierte Ressourcen), des Betriebssystems und der Anwendungssoftware, • Dimensionierung der Hardware (Leistung, Speicher, Bandbreite etc.), • Art und Anzahl der Kommunikationsschnittstellen, • Leistungsaufnahme, Wärmelast, Platzbedarf und Bauform, • administrative Zugänge (siehe SYS.1.1.A5 Schutz von Schnittstellen), • Zugriffe von Benutzenden, • Protokollierung (siehe SYS.1.1.A10 Protokollierung), • Aktualisierung von Betriebssystem und Anwendungen sowie • Einbindung ins System- und Netzmanagement, in die Datensicherung und die Schutzsysteme (Virenschutz, IDS etc.). Alle Entscheidungen, die in der Planungsphase getroffen wurden, SOLLTEN so dokumentiert werden, dass sie zu einem späteren Zeitpunkt nachvollzogen werden können.","Dabei SOLLTEN mindestens folgende Punkte berücksichtigt werden: • Auswahl der Plattform (Hardware oder virtualisierte Ressourcen), des Betriebssystems und der Anwendungssoftware, • Dimensionierung der Hardware (Leistung, Speicher, Bandbreite etc.), • Art und Anzahl der Kommunikationsschnittstellen, • Leistungsaufnahme, Wärmelast, Platzbedarf und Bauform, • administrative Zugänge (siehe SYS.1.1.A5 Schutz von Schnittstellen), • Zugriffe von Benutzenden, • Protokollierung (siehe SYS.1.1.A10 Protokollierung), • Aktualisierung von Betriebssystem und Anwendungen sowie • Einbindung ins System- und Netzmanagement, in die Datensicherung und die Schutzsysteme (Virenschutz, IDS etc.).",zweitkodierer,C — Organisatorischer Akt / evidenzfrei,"Konzeptions- und Dokumentationsaufgabe, Messbarkeit nur teilweise über automatisches Review der Dokumentation umsetzbar -> konservativ C"
SYS.1.1.A33.S04,SYS.1.1.A33,SYS.1.1,H,Erhöhter Schutzbedarf,Aktive Verwaltung der Wurzelzertifikate,"Im Zuge der Beschaffung und Installation des Servers SOLLTE dokumentiert werden, welche Wurzelzertifikate für den Betrieb des Servers notwendig sind. Auf dem Server SOLLTEN lediglich die für den Betrieb notwendigen und vorab dokumentierten Wurzelzertifikate enthalten sein. Es SOLLTE regelmäßig überprüft werden, ob die vorhandenen Wurzelzertifikate noch den Vorgaben der Institution entsprechen. Es SOLLTEN alle auf dem IT-System vorhandenen Zertifikatsspeicher in die Prüfung einbezogen werden.",Es SOLLTEN alle auf dem IT-System vorhandenen Zertifikatsspeicher in die Prüfung einbezogen werden.,zweitkodierer,B — Kontextabhängig / KI-gestützt,Voraussetzung: alle Zertifikatsspeicher bekannt oder tech. automatisiert ermittelbar.
SYS.1.1.A5.S01,SYS.1.1.A5,SYS.1.1,B,Basis,Schutz von Schnittstellen,"Es MUSS gewährleistet werden, dass nur dafür vorgesehene Wechselspeicher und sonstige Geräte an die Server angeschlossen werden können. Alle Schnittstellen, die nicht verwendet werden, MÜSSEN deaktiviert werden.","Es MUSS gewährleistet werden, dass nur dafür vorgesehene Wechselspeicher und sonstige Geräte an die Server angeschlossen werden können.",zweitkodierer,B — Kontextabhängig / KI-gestützt,
SYS.1.1.A6.S01,SYS.1.1.A6,SYS.1.1,B,Basis,Deaktivierung nicht benötigter Dienste,"Alle nicht benötigten Serverrollen, Features und Funktionen, sonstige Software und Dienste MÜSSEN deaktiviert oder deinstalliert werden, vor allem Netzdienste. Auch alle nicht benötigten Funktionen in der Firmware MÜSSEN deaktiviert werden. Die Empfehlungen des Betriebssystemherstellers SOLLTEN hierbei als Orientierung berücksichtigt werden. Auf Servern SOLLTE der Speicherplatz für die einzelnen Benutzenden, aber auch für Anwendungen, geeignet beschränkt werden. Die getroffenen Entscheidungen SOLLTEN so dokumentiert werden, dass nachvollzogen werden kann, welche Konfiguration und Softwareausstattung für die Server gewählt wurden.","Alle nicht benötigten Serverrollen, Features und Funktionen, sonstige Software und Dienste MÜSSEN deaktiviert oder deinstalliert werden, vor allem Netzdienste.",zweitkodierer,B — Kontextabhängig / KI-gestützt,
SYS.1.2.2.A11.S02,SYS.1.2.2.A11,SYS.1.2.2,H,Erhöhter Schutzbedarf,Angriffserkennung bei Windows Server 2012,Sicherheitsrelevante Ereignisse in Windows Server 2012 SOLLTEN an einem zentralen Punkt gesammelt und ausgewertet werden. Verschlüsselte Partitionen SOLLTEN nach einer definierten Anzahl von Entschlüsselungsversuchen gesperrt werden.,Verschlüsselte Partitionen SOLLTEN nach einer definierten Anzahl von Entschlüsselungsversuchen gesperrt werden.,zweitkodierer,B — Kontextabhängig / KI-gestützt,
SYS.1.2.3.A2.S01,SYS.1.2.3.A2,SYS.1.2.3,B,Basis,Sichere Installation von Windows Server,"Wenn vom Funktionsumfang her ausreichend, MUSS die Server-Core-Variante installiert werden. Andernfalls MUSS begründet werden, warum die Server-Core-Variante nicht genügt.","Wenn vom Funktionsumfang her ausreichend, MUSS die Server-Core-Variante installiert werden.",zweitkodierer,B — Kontextabhängig / KI-gestützt,
SYS.1.3.A4.S01,SYS.1.3.A4,SYS.1.3,B,Basis,Schutz vor Ausnutzung von Schwachstellen in Anwendungen,"Um die Ausnutzung von Schwachstellen in Anwendungen zu erschweren, MUSS ASLR und DEP/NX im Kernel aktiviert und von den Anwendungen genutzt werden. Sicherheitsfunktionen des Kernels und der Standardbibliotheken, wie z. B. Heap- und Stackschutz, DÜRFEN NICHT deaktiviert werden.","Um die Ausnutzung von Schwachstellen in Anwendungen zu erschweren, MUSS ASLR und DEP/NX im Kernel aktiviert und von den Anwendungen genutzt werden.",zweitkodierer,A — Deterministisch prüfbar,
SYS.1.5.A19.S03,SYS.1.5.A19,SYS.1.5,S,Standard,Regelmäßige Audits der Virtualisierungsinfrastruktur,"Es SOLLTE regelmäßig auditiert werden, ob der Ist-Zustand der virtuellen Infrastruktur dem in der Planung festgelegten Zustand entspricht. Auch SOLLTE regelmäßig auditiert werden, ob die Konfiguration der virtuellen Komponenten die vorgegebene Standardkonfiguration einhält. Die Auditergebnisse SOLLTEN nachvollziehbar dokumentiert werden. Abweichungen SOLLTEN behoben werden.",Die Auditergebnisse SOLLTEN nachvollziehbar dokumentiert werden.,zweitkodierer,C — Organisatorischer Akt / evidenzfrei,
SYS.1.6.A13.S01,SYS.1.6.A13,SYS.1.6,S,Standard,Freigabe von Images,Alle Images für den produktiven Betrieb SOLLTEN wie Softwareprodukte einen Test- und Freigabeprozess gemäß dem Baustein OPS.1.1.6 Software-Test und Freigaben durchlaufen.,Alle Images für den produktiven Betrieb SOLLTEN wie Softwareprodukte einen Test- und Freigabeprozess gemäß dem Baustein OPS.1.1.6 Software-Test und Freigaben durchlaufen.,zweitkodierer,C — Organisatorischer Akt / evidenzfrei,
