requirement_id,module_id,module_name,title,level,level_label,roles,is_deprecated,text
SYS.1.1.A1,SYS.1.1,Allgemeiner Server,Zugriffsschutz und Nutzung,B,Basis,,False,"Physische Server MÜSSEN an Orten betrieben werden, zu denen nur berechtigte Personen Zutritt haben. Physische Server MÜSSEN daher in Rechenzentren, Serverräumen oder abschließbaren Serverschränken aufgestellt beziehungsweise eingebaut werden (siehe hierzu die entsprechenden Bausteine der Schicht INF Infrastruktur). Bei virtualisierten Servern MUSS der Zugriff auf die Ressourcen der Instanz und deren Konfiguration ebenfalls auf die berechtigten Personen begrenzt werden. Server DÜRFEN NICHT als Arbeitsplatzrechner genutzt werden. Server DÜRFEN NICHT zur Erledigung von Aufgaben und Tätigkeiten verwendet werden, die grundsätzlich auf einem Client- System aus- und durchgeführt werden können. Insbesondere DÜRFEN vorhandene Anwendungen, wie Webbrowser, auf dem Server NICHT für das Abrufen von Informationen aus dem Internet oder das Herunterladen von Software, Treibern und Updates verwendet werden. Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden."
SYS.1.1.A10,SYS.1.1,Allgemeiner Server,Protokollierung,B,Basis,,False,"Generell MÜSSEN alle sicherheitsrelevanten Systemereignisse protokolliert werden, dazu gehören mindestens: • Systemstarts und Reboots, • erfolgreiche und erfolglose Anmeldungen am IT-System (Betriebssystem und Anwendungssoftware), • fehlgeschlagene Berechtigungsprüfungen, • blockierte Datenströme (Verstöße gegen ACLs oder Firewallregeln), • Einrichtung oder Änderungen von Benutzenden, Gruppen und Berechtigungen, • sicherheitsrelevante Fehlermeldungen (z. B. Hardwaredefekte, Überschreitung von Kapazitätsgrenzen) sowie • Warnmeldungen von Sicherheitssystemen (z. B. Virenschutz)."
SYS.1.1.A11,SYS.1.1,Allgemeiner Server,Festlegung einer Sicherheitsrichtlinie für Server,S,Standard,,False,"Ausgehend von der allgemeinen Sicherheitsrichtlinie der Institution SOLLTEN die Anforderungen an Server in einer separaten Sicherheitsrichtlinie konkretisiert werden. Diese Richtlinie SOLLTE allen Administrierenden und anderen Personen, die an der Beschaffung und dem Betrieb der Server beteiligt sind, bekannt und Grundlage für deren Arbeit sein. Die Umsetzung der in der Richtlinie geforderten Inhalte SOLLTE regelmäßig überprüft werden. Die Ergebnisse SOLLTEN sinnvoll dokumentiert werden."
SYS.1.1.A12,SYS.1.1,Allgemeiner Server,Planung des Server-Einsatzes,S,Standard,,False,"Jedes Server-System SOLLTE geeignet geplant werden. Dabei SOLLTEN mindestens folgende Punkte berücksichtigt werden: • Auswahl der Plattform (Hardware oder virtualisierte Ressourcen), des Betriebssystems und der Anwendungssoftware, • Dimensionierung der Hardware (Leistung, Speicher, Bandbreite etc.), • Art und Anzahl der Kommunikationsschnittstellen, • Leistungsaufnahme, Wärmelast, Platzbedarf und Bauform, • administrative Zugänge (siehe SYS.1.1.A5 Schutz von Schnittstellen), • Zugriffe von Benutzenden, • Protokollierung (siehe SYS.1.1.A10 Protokollierung), • Aktualisierung von Betriebssystem und Anwendungen sowie • Einbindung ins System- und Netzmanagement, in die Datensicherung und die Schutzsysteme (Virenschutz, IDS etc.). Alle Entscheidungen, die in der Planungsphase getroffen wurden, SOLLTEN so dokumentiert werden, dass sie zu einem späteren Zeitpunkt nachvollzogen werden können."
SYS.1.1.A13,SYS.1.1,Allgemeiner Server,Beschaffung von Servern,S,Standard,,False,"Bevor ein oder mehrere Server beschafft werden, SOLLTE eine Anforderungsliste erstellt werden, anhand derer die am Markt erhältlichen Produkte bewertet werden."
SYS.1.1.A14,SYS.1.1,Allgemeiner Server,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
SYS.1.1.A15,SYS.1.1,Allgemeiner Server,Unterbrechungsfreie und stabile Stromversorgung,S,Standard,Haustechnik,False,Jeder Server SOLLTE an eine unterbrechungsfreie Stromversorgung (USV) angeschlossen werden.
SYS.1.1.A16,SYS.1.1,Allgemeiner Server,Sichere Installation und Grundkonfiguration von Servern,S,Standard,,False,"Der vollständige Installations- und Konfigurationsvorgang SOLLTE soweit wie möglich innerhalb einer gesonderten und von Produktivsystemen abgetrennten Installationsumgebung vorgenommen werden. Die Konfiguration des Betriebssystems SOLLTE vor produktiver Inbetriebnahme des Servers bereits vorgenommen sein. Mehrere wesentliche Funktionen und Rollen SOLLTEN NICHT durch einen einzigen Server erfüllt, sondern geeignet aufgeteilt werden. Alle sicherheitsrelevanten Einstellungen der aktivierten Dienste und Funktionen (vgl. SYS.1.1.A6 Deaktivierung nicht benötigter Dienste) SOLLTEN entsprechend den Vorgaben der Sicherheitsrichtlinie für Server (siehe SYS.1.1.A11 Festlegung einer Sicherheitsrichtlinie für Server) konfiguriert, getestet und regelmäßig inhaltlich überprüft werden. Dabei SOLLTE der Server unter Berücksichtigung der Empfehlungen des Betriebssystemherstellers und des voreingestellten Standardverhaltens konfiguriert werden, sofern dies nicht anderen Anforderungen aus dem IT-Grundschutz oder der Organisation widerspricht. Die Entscheidungen SOLLTEN dokumentiert und begründet werden. Konfigurationsoptionen SOLLTEN in jedem Fall gesetzt werden, auch dann, wenn das voreingestellte Standardverhalten dadurch nicht verändert wird. Sofern der Server eine Verbindung in das Internet benötigt oder aus dem Internet erreichbar sein muss, SOLLTE er erst mit dem Internet verbunden werden, nachdem die Installation und die Konfiguration abgeschlossen sind."
SYS.1.1.A17,SYS.1.1,Allgemeiner Server,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
SYS.1.1.A18,SYS.1.1,Allgemeiner Server,ENTFALLEN,S,Standard,,True,Diese Anforderung ist entfallen.
