nr,pattern,unit_id,requirement_id,title,level,requirement_text,sentence_text,autor,zweitkodierer,autor_argument,zweitkodierer_argument,konsens,konsens_begruendung,schema_notiz
1,1: Autor=C/Zweitkodierer=B,SYS.1.1.A5.S01,SYS.1.1.A5,Schutz von Schnittstellen,B,"Es MUSS gewährleistet werden, dass nur dafür vorgesehene Wechselspeicher und sonstige Geräte an die Server angeschlossen werden können. Alle Schnittstellen, die nicht verwendet werden, MÜSSEN deaktiviert werden.","Es MUSS gewährleistet werden, dass nur dafür vorgesehene Wechselspeicher und sonstige Geräte an die Server angeschlossen werden können.",C,B,"wenn man schema korrekt auslegt vermutlich B, aber Mensch und physische Welt beteiligt für das anschließen, deswegen Ausschluss → C","Softwareseitig mit Kontext, welche Wechselspeicher vorgesehen sind, per Liste oder ID → B",C,"Konservativ, da Kontext vorliegen muss",
2,1: Autor=C/Zweitkodierer=B,SYS.1.2.3.A2.S01,SYS.1.2.3.A2,Sichere Installation von Windows Server,B,"Wenn vom Funktionsumfang her ausreichend, MUSS die Server-Core-Variante installiert werden. Andernfalls MUSS begründet werden, warum die Server-Core-Variante nicht genügt.","Wenn vom Funktionsumfang her ausreichend, MUSS die Server-Core-Variante installiert werden.",C,B,Einmalige Entscheidung → C,,B,kann auch im Nachhinein geprüft werden,Einmalige Entscheidungen als C-Kriterium aufnehmen.
3,1: Autor=C/Zweitkodierer=B,SYS.1.7.A16.S05,SYS.1.7.A16,Überwachung von z/OS-Systemen,S,"Während des Betriebs SOLLTE das z/OS-System auf wichtige Meldungen, Ereignisse und die Einhaltung von Grenzwerten überwacht werden. Insbesondere Fehlermeldungen auf der HMC- Konsole, WTOR- und wichtige WTO-Nachrichten (Write To Operator/with Reply), System Tasks, Sicherheitsverletzungen, Kapazitätsgrenzen sowie die Systemauslastung SOLLTEN berücksichtigt werden. Für die Überwachung SOLLTEN außerdem mindestens die MCS-Konsole, die System Management Facility, das SYSLOG und die relevanten Protokolldaten der Anwendungen herangezogen werden. Es SOLLTE gewährleistet sein, dass alle wichtigen Meldungen zeitnah erkannt werden und, falls notwendig, in geeigneter Weise darauf reagiert wird. Systemnachrichten SOLLTEN dabei so gefiltert werden, dass nur die wichtigen Nachrichten dargestellt werden.","Systemnachrichten SOLLTEN dabei so gefiltert werden, dass nur die wichtigen Nachrichten dargestellt werden.",C,B,,,B,Loglevel-Entscheidung mit Kontext. Kein nachträgliches Filtern.,
4,1: Autor=C/Zweitkodierer=B,SYS.1.9.A20.S03,SYS.1.9.A20,Unterschiedliche Terminalserver für unterschiedliche Gruppen von Benutzenden oder Geschäftsprozesse,H,"Die Benutzenden von Terminalservern SOLLTEN anhand ähnlicher Berechtigungen und benötigter Anwendungen gruppiert werden. Ein Terminalserver SOLLTE NICHT mehreren Gruppen von Benutzenden zur Verfügung gestellt werden. Ist dies nicht möglich, SOLLTEN dedizierte Terminalserver pro Geschäftsprozess eingesetzt werden.","Ist dies nicht möglich, SOLLTEN dedizierte Terminalserver pro Geschäftsprozess eingesetzt werden.",C,B,Entscheidung → C,,B,Entscheidung hat stattgefunden. Zustand wird geprüft mittels Kontext ,
5,1: Autor=C/Zweitkodierer=B,SYS.1.9.A8.S03,SYS.1.9.A8,Sichere Zuordnung des Terminalservers zu Netzsegmenten,B,Der Terminalserver MUSS in dedizierten Netzsegmenten oder in Client-Netzsegmenten positioniert werden. Innerhalb von Client-Netzsegmenten MÜSSEN Terminalserver identifizierbar sein. Eine bestehende Netztrennung DARF NICHT über einen Terminalserver umgangen werden können.,Eine bestehende Netztrennung DARF NICHT über einen Terminalserver umgangen werden können.,C,B,Anweisung → C,,B,Technisch verhindern ist prüfbar. Kontext: wie wird es technisch verhindert.,
6,1: Autor=C/Zweitkodierer=B,SYS.2.1.A21.S01,SYS.2.1.A21,Verhinderung der unautorisierten Nutzung von Rechnermikrofonen und Kameras,S,"Der Zugriff auf Mikrofon und Kamera eines Clients SOLLTE nur durch Benutzende selbst möglich sein, solange sie lokal am IT-System arbeiten. Wenn vorhandene Mikrofone oder Kameras nicht genutzt und deren Missbrauch verhindert werden soll, SOLLTEN diese, wenn möglich, ausgeschaltet, abgedeckt (nur Kamera), deaktiviert oder physisch vom Gerät getrennt werden. Es SOLLTE geregelt werden, wie Kameras und Mikrofone in Clients genutzt und wie die Rechte vergeben werden.","Der Zugriff auf Mikrofon und Kamera eines Clients SOLLTE nur durch Benutzende selbst möglich sein, solange sie lokal am IT-System arbeiten.",C,B,"dass Benutzende lokal arbeiten, ist evidenzfrei","Vermutung, dass es Einstellung dafür gibt",needs_review,,
7,1: Autor=C/Zweitkodierer=B,SYS.2.1.A23.S01,SYS.2.1.A23,Bevorzugung von Client-Server-Diensten,S,"Wenn möglich, SOLLTEN zum Informationsaustausch dedizierte Serverdienste genutzt und direkte Verbindungen zwischen Clients vermieden werden. Falls dies nicht möglich ist, SOLLTE festgelegt werden, welche Client-zu-Client-Dienste (oft auch als „Peer-to-Peer“ bezeichnet) genutzt und welche Informationen darüber ausgetauscht werden dürfen. Falls erforderlich, SOLLTEN Benutzende für die Nutzung solcher Dienste geschult werden. Direkte Verbindungen zwischen Clients SOLLTEN sich nur auf das LAN beschränken. Auto-Discovery-Protokolle SOLLTEN auf das notwendige Maß beschränkt werden.","Wenn möglich, SOLLTEN zum Informationsaustausch dedizierte Serverdienste genutzt und direkte Verbindungen zwischen Clients vermieden werden.",C,B,,Müsste Einstellung dafür geben.,C,Technische Unterbindung ist nur teilweise möglich. Beispiel: Kabel direkt anschließen.,
8,1: Autor=C/Zweitkodierer=B,SYS.2.4.A8.S02,SYS.2.4.A8,Keine Nutzung von iCloud für schützenswerte Daten,S,"Es SOLLTE verhindert werden, dass schützenswerte Daten zwischen mehreren Geräten über iCloud- Dienste synchronisiert werden. Stattdessen SOLLTEN Daten nur über selbst betriebene Dienste synchronisiert werden. Schützenswerte Daten SOLLTEN NICHT in iCloud gespeichert werden. Entwürfe, beispielsweise von E-Mails oder Dokumenten, SOLLTEN NICHT automatisch in iCloud gespeichert werden.",Stattdessen SOLLTEN Daten nur über selbst betriebene Dienste synchronisiert werden.,C,B,,,C,solange Internetverbindung vorhanden – nicht verhinderbar. Evidenzfrei.,
9,1: Autor=C/Zweitkodierer=B,SYS.4.4.A18.S02,SYS.4.4.A18,Protokollierung sicherheitsrelevanter Ereignisse bei IoT-Geräten,S,"Sicherheitsrelevante Ereignisse SOLLTEN automatisch protokolliert werden. Falls dies durch die IoT- Geräte selber nicht möglich ist, SOLLTEN hierfür Router oder Protokollmechanismen anderer IT- Systeme genutzt werden. Die Protokolle SOLLTEN geeignet ausgewertet werden.","Falls dies durch die IoT- Geräte selber nicht möglich ist, SOLLTEN hierfür Router oder Protokollmechanismen anderer IT- Systeme genutzt werden.",C,B,,,B,Nach Entscheidung ist es mit Kontext technisch prüfbar.,
10,2: Autor=A/Zweitkodierer=B,SYS.1.1.A33.S04,SYS.1.1.A33,Aktive Verwaltung der Wurzelzertifikate,H,"Im Zuge der Beschaffung und Installation des Servers SOLLTE dokumentiert werden, welche Wurzelzertifikate für den Betrieb des Servers notwendig sind. Auf dem Server SOLLTEN lediglich die für den Betrieb notwendigen und vorab dokumentierten Wurzelzertifikate enthalten sein. Es SOLLTE regelmäßig überprüft werden, ob die vorhandenen Wurzelzertifikate noch den Vorgaben der Institution entsprechen. Es SOLLTEN alle auf dem IT-System vorhandenen Zertifikatsspeicher in die Prüfung einbezogen werden.",Es SOLLTEN alle auf dem IT-System vorhandenen Zertifikatsspeicher in die Prüfung einbezogen werden.,A,B,"Es ist allgemeines Wissen, was vorhandene Zertifikatspeicher sind. Ggf. Kontext notwendig, wo diese liegen. Aber vermutlich allgemein bekannt.",Was sind die vorhandenen Zertifikatspeicher?,needs_review,,
